recordID,stopID,stopNumber,lat,lon,backuplat,backuplon,id,bearing,duration,center,padding,zoom,pitch,personRank,dogRank,walkRank,weather,newPath,imageDescript,personText,dogText,walkText
R_5fk9xxsez2yV5uV,F_2CH3x94BWYyxuqu,Stop #1,-89.41056944,43.06226667,43.06227255,-89.41077895,1,31.29452514,2000,"[-89.3,43.1]",20,21,5,4,3,4,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1193.jpeg,Homemade sign about parking law.,"If people park too close to (or partly across) my driveway, I have a hard time driving out onto the street, wasting time and risking hitting vehicles or people.",The dog doesn't drive.,"If people park legally, it's easier for dog and drivers to see one another and avoid collisions,"
R_5fk9xxsez2yV5uV,F_1FgsAI794ozxu0o,Stop #2,-89.41083611,43.06253056,43.06253056,-89.41083611,2,289.9025879,2000,"[-89.3,43.1]",20,20,50,3,4,4,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1194.jpeg,Empty house and unused car.,"The empty house and car mean less traffic and parking congestion, but  also less opportunity for social interaction.",The overgrown vegetation provides habitat for squirrels and rabbits.,See previous answer.
R_5fk9xxsez2yV5uV,F_3nvFuqtMBGPQzvu,Stop #3,-89.41095,43.06269444,43.06269444,-89.41095,3,275.8329774,2000,"[-89.3,43.1]",20,21,70,2,2,3,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1195.jpeg,"Street, narrow sidewalk, and overhanging vegetation","We have to walk in the street, and can't easily see cars coming around the bend.",The same as for me.,We've learned to negotiate it.
R_5fk9xxsez2yV5uV,F_21vshI2wJQGVFXt,Stop #4,-89.4123,43.06393333,43.06393333,-89.4123,4,46.60296634,2000,"[-89.3,43.1]",20,19,56,4,3,3,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1196.jpeg,Canoe leaning against a house,It's good to see people are interested in outdoor recreation and exercise.,He pays no attention to it.,Same as previous answer
R_5fk9xxsez2yV5uV,F_0AqIB7ixfStFdOV,Stop #5,-89.412675,43.06445,43.06445,-89.412675,5,161.4579546,2000,"[-89.3,43.1]",20,21,45,4,2,3,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1198.jpeg,Street corner garden,"It's more interesting than mowed grass. I can watch the tomatoes growing and ripening,",He can't pee or poop there.,"Advantages and disadvantages balance out,"
R_5fk9xxsez2yV5uV,F_9QqFaDg3VLLpmKd,Stop #6,-89.41280278,43.06454444,43.06454444,-89.41280278,6,320.1302645,2000,"[-89.3,43.1]",20,20,72,4,3,2,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1199.jpeg,Fence decorated with flag and string of lights,"It adds a bit of color to the area,",He doesn't pay any attention to it.,"The fence, brush pile, and other things in the terrace limit the space available for the dog to walk."
R_5fk9xxsez2yV5uV,F_2anxOVkxT04PplV,Stop #7,-89.41343611,43.06505278,43.06505278,-89.41343611,7,356.7754821,2000,"[-89.3,43.1]",20,21,34,2,3,2,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1200.jpeg,Multiple ''for rent'' signs around one house.,The signs distract from the natural environment. One sign should be enough,He can't read.,"The signs are distracting,"
R_5fk9xxsez2yV5uV,F_3JwNQcMJjKw8h7z,Stop #8,-89.41380278,43.06532222,43.06532222,-89.41380278,8,289.3278961,2000,"[-89.3,43.1]",20,22,6,2,3,2,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1201.jpeg,Mud and puddle with dog tracks,"It's ugly, and the dog may track the mud into our house.","He likes walking through it, but I don't like the mud on his feet.",The dog gets muddy.
R_5fk9xxsez2yV5uV,F_32XXUgvB74K7wVD,Stop #9,-89.41411667,43.06563889,43.06563889,-89.41411667,9,39.307312,2000,"[-89.3,43.1]",20,20.5,63,4,3,4,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1203.jpeg,Sidewalk and terrace with tall plants,The plants provide environmental and visual variety.,"The terrace gardens reduce the area in which the dog can pee and poop, but they provide shelter for rabbits that the dog likes to see. (He's pretty much given up chasing rabbits; they always run away and hide.)",The gardens provide variety; there are other areas with grass.
R_5fk9xxsez2yV5uV,F_3QL1lRJ798UuH2p,Stop #10,-89.41365,43.06605833,43.06602701,-89.4135411,10,148.746708,2000,"[-89.3,43.1]",20,22,2,1,2,2,N/A,/img/R_5fk9xxsez2yV5uV/IMG_1205.jpeg,Road-killed bird,I like songbirds and don't like to see them killed.,"The dog  likes to eat road kill, but I worry that it might make him sick.","The dead bird lures the dog into the street, where he, too, could get hit by a car."
