recordID,stopID,stopNumber,lat,lon,backuplat,backuplon,id,bearing,duration,center,padding,zoom,pitch,personRank,dogRank,walkRank,weather,newPath,imageDescript,personText,dogText,walkText
R_3IEoOi8Ct6r4zWo,F_2Tuv2ldvQXFOWUE,Stop #1,43.0840515,-89.30423456,43.08405,-89.30423056,1,15.0630436,2000,"[-89.3,43.1]",20,18,40,2,5,1,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0332.jpeg,Dead animal remains,It was unpleasant to see.  The carcass was rotting and looked slimy.,I bet it smelled great to Ellie!,Unpleasant to see and had to pull Ellie away to avoid disturbing it.
R_3IEoOi8Ct6r4zWo,F_1ps8oM2LfM9ZMji,Stop #2,43.08401486836374,-89.30509463,43.084012,-89.30559013,2,127.0554124,2000,"[-89.3,43.1]",20,18,60,2,5,4,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0334.jpeg,This is the fence by the veterinary clinic.,It's an ugly fence in need of repair.,Lots of smells to explore!,I know my dog enjoys sniffing and I know it's good for her.
R_3IEoOi8Ct6r4zWo,F_1hHdeQ6cuVUpL8B,Stop #3,43.08400648646057,-89.3059153,43.08398037,-89.30625392,3,135.6941071,2000,"[-89.3,43.1]",20,19,45,4,5,5,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0335.jpeg,A bush by the same veterinary clinic,I enjoy plants and green space on my walks.,Lots of smells on this bush.,"It's a safe, natural bush that apparently has a lot of good smells to offer."
R_3IEoOi8Ct6r4zWo,F_33BvItWyd4wARRH,Stop #4,43.08400799520314,-89.30632208,43.08353056,-89.30696111,4,287.9501647,2000,"[-89.3,43.1]",20,19,70,3,4,4,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0337.jpeg,Culver's restaurant,It's a well-maintained property but I'm not emotionally connected to it.,Ellie appeared to be on alert or excited at this point.  I don't know if she saw or smelled something?  I looked but didn't notice anything.,We pass a lot of buildings and businesses.  Each one is different but not extraordinarily interesting.
R_3IEoOi8Ct6r4zWo,F_2qw9u7fGbO1eMUe,Stop #5,43.08210052549839,-89.30703588,43.08196944,-89.30700556,5,181.1882629,2000,"[-89.3,43.1]",20,17,60,5,5,5,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0342.jpeg,Wild turkey!!,"It's a pleasant surprise to see wildlife on our walks, especially if it's a unique animal or bird.",Ellie wanted to chase the turkey.,It sparks excitement in myself and my dog when we notice animals on our walks.  It brings a balance of nature and urban life.
R_3IEoOi8Ct6r4zWo,F_1gM887PcKt71jy9,Stop #6,43.08268625289202,-89.30693613,43.08219167,-89.30671667,6,344.2689822,2000,"[-89.3,43.1]",20,18,35,5,5,5,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0345.jpeg,Wild flowers growing in a field alongside the sidewalk.,The wildflowers are beautiful!,I don't know if Ellie appreciates the beauty but she did sniff them for a long time.,Win-win!  I admired the beauty and they were ground level for Ellie to sniff.
R_3IEoOi8Ct6r4zWo,F_yx0AiyEDcPvo9l7,Stop #7,43.08389416895807,-89.30342194,43.08406389,-89.30355,7,324.6530455,2000,"[-89.3,43.1]",20,18,50,3,5,4,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0346.jpeg,Telephone pole,"In general, it's necessary but not esthetically pleasing.  However, we stop by a lot of poles on our walks and I've begun to notice and appreciate the unique patterns on some of them.",Ellie loves to sniff and mark telephone poles.,"The dogs seem to enjoy them, but it holds us up and are just something to tolerate."
R_3IEoOi8Ct6r4zWo,F_3Of7Kc6ZxRFx3O0,Stop #8,43.08237964,-89.30290528,43.083375,-89.30291111,8,155.7373657,2000,"[-89.3,43.1]",20,17,65,5,4,4,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0348.jpeg,A beautiful garden in our neighborhood,Beautiful plants make me happy,I don't think Ellie appreciates the garden as much as I do but it's definitely not a negative experience.,Pretty for me to look at and not detrimental to Ellie.
R_3IEoOi8Ct6r4zWo,F_3qwJtnPKEbn8TCO,Stop #9,43.08275875635445,-89.30289631,43.08311827,-89.30287843,9,129.5974579,2000,"[-89.3,43.1]",20,19,75,5,3,5,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0350.jpeg,Beautiful pond on corner yard,Very calming waterfall feature with beautiful sculpture and plants,I think it's set too far back for Ellie to notice.,I enjoy this feature very much.  It's not harmful to my dog and may be neutral or pleasant to her.
R_3IEoOi8Ct6r4zWo,F_dp7CNJhgWHe1kpX,Stop #10,43.08226715773344,-89.30286672,43.08297295,-89.30292936,10,286.3479309,2000,"[-89.3,43.1]",20,18.5,60,1,5,1,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0351.jpeg,A bag of litter,It makes me angry when I see blatant littering.,I'm sure whatever was in the bag smelled really good to Ellie,Unnatural and unnecessary.
R_3IEoOi8Ct6r4zWo,F_VNXpYXpWIjr4flf,Stop #11,43.08216146193445,-89.30246062,43.08213889,-89.30281944,11,321.4310302,2000,"[-89.3,43.1]",20,19,35,2,5,2,N/A,/img/R_3IEoOi8Ct6r4zWo/IMG_0352.jpeg,Storm sewer grate,"I don't mind the structure knowing its purpose, but I always wonder what animal is lurking down there.",Ellie loves to investigate storm sewers.,Ellie pulls to get to the grates.  They're probably wonderful for her but I don't enjoy the pulling or the feeling that I'll see something climb out of it.
